row_id,item_name,tp_value,yp_value,total_value,date_str,period_id
1,Toplam Krediler (2+10),14491159.0,8583613.0,23074772.0,,629
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5621973.0,7675.0,5629648.0,,629
3,Tüketici Kredileri (4+5+6),2917160.0,190.0,2917350.0,,629
4,a) Konut,684360.0,58.0,684418.0,,629
5,b) Taşıt,49449.0,21.0,49470.0,,629
6,c) İhtiyaç,2183350.0,110.0,2183461.0,,629
7,Bireysel Kredi Kartları (8+9),2704812.0,7485.0,2712298.0,,629
8,a) Taksitli,1026731.0,0.0,1026731.0,,629
9,b) Taksitsiz,1678081.0,7485.0,1685566.0,,629
10,Ticari ve Diğer Krediler,8869185.0,8575938.0,17445124.0,,629
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3343645.0,989977.0,4333622.0,,629
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2512696.0,989237.0,3501934.0,,629
13,a) İşyeri,28070.0,6403.0,34473.0,,629
14,b) Taşıt,335758.0,28027.0,363785.0,,629
15,c) İhtiyaç,2148868.0,954806.0,3103674.0,,629
16,Kurumsal Kredi Kartları (17+18) (Bilgi),830948.0,739.0,831687.0,,629
17,a) Taksitli,216362.0,0.0,216362.0,,629
18,b) Taksitsiz,614585.0,739.0,615325.0,,629
19,KOBİ Kredileri (Bilgi),5034600.0,1177143.0,6211743.0,,629
20,Döv. Endeksli Krediler (Bilgi),650.0,0.0,650.0,,629
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),742516.0,0.0,742516.0,,629
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),229254.0,0.0,229254.0,,629
1,Toplam Krediler (2+10),14472978.0,8552076.0,23025054.0,,628
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5696312.0,7749.0,5704062.0,,628
3,Tüketici Kredileri (4+5+6),2945087.0,189.0,2945277.0,,628
4,a) Konut,682350.0,58.0,682408.0,,628
5,b) Taşıt,50726.0,22.0,50748.0,,628
6,c) İhtiyaç,2212010.0,109.0,2212120.0,,628
7,Bireysel Kredi Kartları (8+9),2751224.0,7559.0,2758784.0,,628
8,a) Taksitli,1028615.0,0.0,1028615.0,,628
9,b) Taksitsiz,1722609.0,7559.0,1730169.0,,628
10,Ticari ve Diğer Krediler,8776665.0,8544326.0,17320992.0,,628
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3330970.0,988759.0,4319730.0,,628
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2500222.0,988165.0,3488387.0,,628
13,a) İşyeri,27844.0,6287.0,34132.0,,628
14,b) Taşıt,335852.0,28052.0,363904.0,,628
15,c) İhtiyaç,2136525.0,953824.0,3090349.0,,628
16,Kurumsal Kredi Kartları (17+18) (Bilgi),830748.0,594.0,831343.0,,628
17,a) Taksitli,217065.0,0.0,217065.0,,628
18,b) Taksitsiz,613683.0,594.0,614277.0,,628
19,KOBİ Kredileri (Bilgi),5015366.0,1174214.0,6189581.0,,628
20,Döv. Endeksli Krediler (Bilgi),652.0,0.0,652.0,,628
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),758052.0,0.0,758052.0,,628
22,Kredili Mevduat Hesapları-Taksitli Ticari Krediler(Bilgi),227827.0,0.0,227827.0,,628
1,Toplam Krediler (2+10),14499976.0,8550817.0,23050794.0,,627
2,Tüketici Kredileri ve Bireysel Kredi Kartları (3+7),5719567.0,9188.0,5728755.0,,627
3,Tüketici Kredileri (4+5+6),2935939.0,190.0,2936130.0,,627
4,a) Konut,679157.0,58.0,679216.0,,627
5,b) Taşıt,51597.0,21.0,51618.0,,627
6,c) İhtiyaç,2205184.0,111.0,2205295.0,,627
7,Bireysel Kredi Kartları (8+9),2783627.0,8997.0,2792625.0,,627
8,a) Taksitli,1030650.0,0.0,1030650.0,,627
9,b) Taksitsiz,1752977.0,8997.0,1761974.0,,627
10,Ticari ve Diğer Krediler,8780409.0,8541629.0,17322038.0,,627
11,Taksitli Tic. Krd. ve Kurumsal Kredi Kartları (12+16) (Bilgi),3347068.0,990701.0,4337770.0,,627
12,Taksitli Ticari Krediler (13+14+15) (Bilgi),2487831.0,989885.0,3477717.0,,627
13,a) İşyeri,27548.0,6240.0,33788.0,,627
14,b) Taşıt,336283.0,28341.0,364624.0,,627
15,c) İhtiyaç,2124000.0,955303.0,3079303.0,,627
16,Kurumsal Kredi Kartları (17+18) (Bilgi),859237.0,816.0,860053.0,,627
17,a) Taksitli,215153.0,0.0,215153.0,,627
18,b) Taksitsiz,644083.0,816.0,644899.0,,627
19,KOBİ Kredileri (Bilgi),5002608.0,1168712.0,6171321.0,,627
20,Döv. Endeksli Krediler (Bilgi),655.0,0.0,655.0,,627
21,Kredili Mevduat Hesapları-Tüketici Kredileri (Bilgi),751383.0,0.0,751383.0,,627
